ID	Escena	Path	Linea	Descripción	SPANISH	ENGLISH
remembering_awakening	05 Aula Post Examen	/05_aula_post_examen.tscn	51	anota_en_el_diario(   )	Me puse a pensar un poco en la vida, en mi futuro, y en el estúpido Despertar. No entiendo el revuelo por el primer implante. Odio esto! La adolescencia es la peor etapa de la vida, ya quiero ser une adulte	I started thinking a bit about life, my future, and the stupid Awakening. I don't understand the fuss about the first implant. I hate this! Adolescence is the worst stage of life; I can't wait to be an adult.
no_double_pic_2	05 Aula Post Examen	/05_aula_post_examen.tscn	58	dice(  Jade  ,     )	No quiero gastar otra foto en lo mismo.	I don't want to waste another photo on the same thing.
log_112	06 Museo Analógico	escenas/06_museo_analogico.tscn	32	dice_a_la_grabadora(    )	Entrada 112: Cuando Volk subió al poder, los visitantes dejaron de venir.	Entry 112: When Volk came to power, visitors stopped coming. 
no_talk_of_past	06 Museo Analógico	escenas/06_museo_analogico.tscn	33	dice_a_la_grabadora(    )	Si bien legalmente no era un asunto prohibido, todos sabían qué opinaba el Líder sobre las épocas pasadas.	Although legally it wasn't forbidden, everyone knew the Leader's stance on past eras. 
analog_museum_joke	06 Museo Analógico	escenas/06_museo_analogico.tscn	34	dice_a_la_grabadora(    )	Con el tiempo se transformó en el depósito de la escuela y se lo bautizó Museo Analógico como una burla.	As time passed, it was transformed into the school's storage room, sarcastically dubbed the Analog Museum.
analog_museum_favorite_place	06 Museo Analógico	escenas/06_museo_analogico.tscn	35	anota_en_el_diario(   )	El museo analógico es mi lugar favorito en el colegio. Bah, en el mundo. Tiene tantos objetos de antes... Puede que me quedara con una cámara de fotos vieja	The analog museum is my favorite place in school. Well, in the world. It has so many things from before... I might have stolen an old camera.
stolen_camera	06 Museo Analógico	escenas/06_museo_analogico.tscn	36	anota_en_el_diario(    )	Sé lo que piensan... A veces no se a quien le hablo, pero en fin… Nadie usa la cámara y seguro que Kase no la va a extrañar	I know what you're thinking... Sometimes I don't know who I'm talking to, but anyway... No one uses the camera, and I'm sure Kase won't miss it.
similar_portrait_alex	06 Museo Analógico	escenas/06_museo_analogico.tscn	46	dice(  Jade  ,     )	Se parece al cuadro que Alex tiene escondido en casa. Creo que el pintor era bien famoso o algo.	It looks like the painting Alex has hidden at home. I think the artist was quite famous or something.
camera_evolution	06 Museo Analógico	escenas/06_museo_analogico.tscn	51	dice(  Jade  ,     )	La evolución de las cámaras! Existían tantas tan diferentes	The evolution of cameras! There were so many, all so different.
creepy_implants	06 Museo Analógico	escenas/06_museo_analogico.tscn	52	dice(  Jade  ,     )	Es re aburrido que ahora todes saquen fotos con sus implantes. Ni hablar que nunca sabes si te están fotografiando cada vez que te miran	It's really boring that now everyone takes pictures with their implants. Not to mention, you never know if they're photographing you every time they look at you.
newspaper	06 Museo Analógico	escenas/06_museo_analogico.tscn	56	dice(  Jade  ,     )	Leer las noticias desde el celular me parece ridículo cuando podríamos tener esto.	Reading the news on a phone seems ridiculous when we could have this.
breakfast_and_news	06 Museo Analógico	escenas/06_museo_analogico.tscn	57	dice(  Jade  ,     )	Como en las películas antiguas, donde se levantan a desayunar mientras leen las noticias.	Like in the old movies, where they get up and get breakfast while reading the news.
computer_evolution	06 Museo Analógico	escenas/06_museo_analogico.tscn	61	dice(  Jade  ,     )	Un cuadro de la evolución de las computadoras	A painting depicting the evolution of computers.
old_books_alergy	06 Museo Analógico	escenas/06_museo_analogico.tscn	65	dice(  Jade  ,     )	Siempre me dan ganas de leer estos libros, pero son tan viejos que seguro me darían alergia	I always want to read these books, but they're so old that they'd probably trigger my allergies.
typewriter	06 Museo Analógico	escenas/06_museo_analogico.tscn	69	dice(  Jade  ,     )	Me gusta escribir mi diario a mano, pero me encantaría también tener una de estas en casa.	I enjoy writing my diary by hand, but having one of these at home would be amazing too.
is_that_what_i_think	06 Museo Analógico	escenas/06_museo_analogico.tscn	74	dice(  Jade  ,     )	Wow, eso es lo que creo que es?	Wow, is that what I think it is?
continue_exploring	06 Museo Analógico	escenas/06_museo_analogico.tscn	81	dice(  Jade  ,     )	Mejor sigo explorando antes de molestarle	I better keep exploring before bothering them.
camera_instructions	06 Museo Analógico	escenas/06_museo_analogico.tscn	85	dice(  Kase  ,     )	Con la cámara en mano, apunta al escenario que quieras capturar y hace click	Hold the camera steady, frame the scene you want to capture, and press the shutter button.
choice_who_you	06 Museo Analógico	escenas/06_museo_analogico.tscn			Quién sos?	Who are you?
choice_sorry_disturb	06 Museo Analógico	escenas/06_museo_analogico.tscn			Perdón, no quería molestar.	Sorry, I didn't mean to disturb.
who_are_you	06 Museo Analógico	escenas/06_museo_analogico.tscn	97	dice(  Jade  ,     )	Quién sos? Nunca te vi por acá.	Who are you? I've never seen you around here.
im_kase	06 Museo Analógico	escenas/06_museo_analogico.tscn	98	dice(  Kase  ,     )	Soy Kase. Le cuidadore del museo. te veo bastante interesade en este polvoriento y viejo lugar.	I'm Kase. The museum caretaker. I see you're quite interested in this dusty old place.
wanting_solitude	06 Museo Analógico	escenas/06_museo_analogico.tscn	99	dice(  Jade  ,     )	Siempre vengo por acá cuando quiero estar sole	I always come here when I want to be alone.
you_like_camera	06 Museo Analógico	escenas/06_museo_analogico.tscn	100	dice(  Kase  ,     )	Veo que te atrae la cámara. Sabes para que sirve?	I see you're drawn to the camera. Do you know what it's used for?
i_like_camera	06 Museo Analógico	escenas/06_museo_analogico.tscn	101	dice(  Jade  ,     )	Sí, desde que lo estudiamos en las clases de Historia Arcaica quise una para registrar todo lo que veo	Absolutely, ever since we covered it in our Ancient History class, I've been eager to have one to document everything I see.
remembers_young_journalist	06 Museo Analógico	escenas/06_museo_analogico.tscn	102	dice(  Kase  ,     )	Hace varios años atrás había une joven obsesionade con dejar documentada la historia para el futuro, pasaba largos ratos escribiendo y fotografiando todo lo que...	Years back, there was a young person cobsessed with documenting history for the future, dedicating countless hours to writing and photographing everything...
can_see_camera	06 Museo Analógico	escenas/06_museo_analogico.tscn	103	dice(  Jade  ,     )	Es su cámara? Puedo verla?	Is this their camera? Can I see it?
yes_but_put_it_back_after	06 Museo Analógico	escenas/06_museo_analogico.tscn	106	respuesta_kase =      	Puedes usarla. Solo recuerda volver a guardarla cuando termines.	You can use it. Just remember to put it back when you're done.
incredible_story_role_model	06 Museo Analógico	escenas/06_museo_analogico.tscn	107	anota_en_el_diario(    )	Me contó una historia fascinante! Lo mejor de todo es que le antigüe dueñe de esta cámara tenía un modelo de vida que me encantaría seguir! Evidentemente es el destino	Kase told me a fascinating story! Best of all, the camera's previous owner is like a role model I'd love to follow. This feels like destiny
sorry_to_disturb	06 Museo Analógico	escenas/06_museo_analogico.tscn	111	dice(  Jade  ,     )	Perdón, no quería molestar. Este lugar siempre está vacío.	Sorry, I didn't mean to disturb. This place is always empty.
im_kase_observer	06 Museo Analógico	escenas/06_museo_analogico.tscn	112	dice(  Kase  ,     )	Soy Kase. Le cuidadore del museo. Te suelo ver seguido por acá, pero siempre estás concentrade viendo la exposición como para notar que hay alguien más	I'm Kase. The museum caretaker. I often see you here, but you're always so focused on the exhibition that you don't notice anyone else.
...	06 Museo Analógico	escenas/06_museo_analogico.tscn	113	dice(  Jade  ,     )	...	...
want_try_camera	06 Museo Analógico	escenas/06_museo_analogico.tscn	114	dice(  Kase  ,     )	Te veo interesade en la cámara. Quieres probarla?	I see you're interested in the camera. Do you want to try it?
yes_since_history	06 Museo Analógico	escenas/06_museo_analogico.tscn	115	dice(  Jade  ,     )	SI! Muero por probar una desde que las estudiamos en Historia Arcaica	YES! I've been dying to try one ever since we studied them in Ancient History.
laughs_reminds_camera	06 Museo Analógico	escenas/06_museo_analogico.tscn	118	respuesta_kase =     	*Se ríe* Solo recuerda volver a guardarla cuando termines.	*Laughs* Just remember to put it back when you're done.
kase_wanted_me_to_take_it	06 Museo Analógico	escenas/06_museo_analogico.tscn	119	anota_en_el_diario(    )	Kase me dejó sostener la cámara, para mi estaba incitando a que me la llevara. También contó una historia muy interesante de la cámara y su dueñe, un auténtico misterio	Kase let me hold the camera; it felt like he was encouraging me to take it. He also told a very interesting story about the camera and its previous owner, a true mystery.
try_pic_kase	06 Museo Analógico	escenas/06_museo_analogico.tscn	129	dice(  Jade  ,     )	Quiero probar sacar una foto. No te muevas	I want to try taking a photo. Don't move.
no_double_pic_3	06 Museo Analógico	escenas/06_museo_analogico.tscn	134	dice(  Jade  ,     )	No quiero gastar otra foto en lo mismo.	I don't want to waste another photo on the same thing.
continue_exploring_again	06 Museo Analógico	escenas/06_museo_analogico.tscn	145	dice(  Jade  ,     )	Deberia continuar explorando, creo que hay objetos que nunca vi por acá	I should keep exploring; I think there are things here I've never seen before.
try_pic_something	06 Museo Analógico	escenas/06_museo_analogico.tscn	149	dice(  Jade  ,     )	Quiero probar sacar una foto	I want to try taking a photo.
no_double_pic_4	06 Museo Analógico	escenas/06_museo_analogico.tscn	163	dice(  Jade  ,     )	No quiero gastar otra foto en lo mismo.	I don't want to waste another photo on the same thing.
no_double_pic_5	07 Patio	escenas/07_patio_de_escuela.tscn	45	dice(  Jade  ,     )	No quiero gastar otra foto en lo mismo.	I don't want to waste another photo on the same thing.
no_double_pic_6	07 Patio	escenas/07_patio_de_escuela.tscn	53	dice(  Jade  ,     )	No quiero gastar otra foto en lo mismo.	I don't want to waste another photo on the same thing.
whats_that_antique	07 Patio	escenas/07_patio_de_escuela.tscn	68	dice(  Andra  ,     )	Qué es esa antigüedad? Puedo verla?	What's that antique? Can I see it?
dont_know_what_you_talking	07 Patio	escenas/07_patio_de_escuela.tscn	69	dice(  Jade  ,     )	No sé de qué hablas	I have no idea what you're talking about.
think_im_stupid	07 Patio	escenas/07_patio_de_escuela.tscn	70	dice(  Andra  ,     )	Te piensas que soy estúpide?	Do you think I'm stupid?
...	07 Patio	escenas/07_patio_de_escuela.tscn	71	dice(  Jade  ,   ...  )	...	...
sell_for_parts	07 Patio	escenas/07_patio_de_escuela.tscn	72	dice(  Andra  ,    )	Podría venderla por parte. Seguro no paguen demasiado por esta chatarra, pero verte miserable sería pago suficiente para mí	I could sell it for parts. They probably won't pay much for this junk, but seeing you miserable would be payment enough for me.
what_is_noise	07 Patio	escenas/07_patio_de_escuela.tscn	78	dice(  Jade  ,     )	Qué fue ese ruido?	What was that noise?
long_live_revolution	07 Patio	escenas/07_patio_de_escuela.tscn	79	dice(  Misteriose  ,     )	Viva la revolución!	Long live the revolution!
